0.8309564873	1786 1590 3742
0.8307694662	91 557
0.8305005057	1035 4574
0.8301077771	9153 7083
0.8298311585	5897 12847
0.8285296847	9127 2066 9127
0.8283978737	3840 890 1360
0.8274864298	1786 1590
0.8271153501	59 5861
0.8246220164	734 3622
0.8227120164	5183 3726 93 5185 2239
0.8225181610	2319 2299
0.8222531165	3304 340
0.8217590476	4238 4580
0.8210823332	3800 4491
0.8203439070	1075 4083
0.8197006072	292 2096
0.8189755461	3532 4337
0.8184354337	14223 3507 3213
0.8184138103	144 5324 253
0.8179884513	5017 83
0.8175259666	1370 379
0.8157803745	3938 86
0.8148934339	1035 3587
0.8142782991	3213 3599
0.8137256819	671 2096
0.8134271876	3400 4427
0.8133298741	3840 890 3499
0.8124729937	6525 3715
0.8122189097	4075 747
0.8107829106	344 3753
0.8092341365	205 4064 113 491 86
0.8092279942	9126 2126
0.8082270782	91 6133
0.8077062565	3304 667
0.8057274038	1023 897
0.8055992414	4390 1885 3525 3599
0.8038223735	4031 4137
0.8027818204	867 4621
0.8016466985	1483 1067
0.8012788525	4031 4404
0.7986478822	671 5510 897
0.7984090247	3971 3565
0.7979461585	15105 455 3599
0.7976063357	1086 8367
0.7957337053	3493 360
0.7956128091	4075 669
0.7946075990	3524 3525
0.7944548436	4705 1303
0.7941435786	9343 885
0.7933115492	521 905
0.7917823921	1035 4259
0.7911276091	432 1016
0.7906446869	5340 805 7903
0.7887699849	4070 4067
0.7876819018	3185 1590
0.7875169149	1970 3711
0.7874396513	820 259
0.7858856280	3975 86
0.7858302634	61 575
0.7856179574	356 3762
0.7828082099	491 807
0.7826945030	3798 897
0.7791529360	902 1013 113
0.7791275924	1786 678
0.7790975152	1786 1744
0.7790350715	7352 3758
0.7770181478	2826 340
0.7759063507	3800 4404
0.7745948948	3025 1136
0.7742641171	946 3753
0.7730234332	3506 101
0.7712912453	4782 1590
0.7701934640	3797 3851
0.7685158093	3952 2324
0.7682641094	1590 3213
0.7664683134	697 3135
0.7646083865	503 101
0.7645998249	8828 5324
0.7645325841	2014 4249
0.7642980732	1771 1211
0.7638246227	635 857
0.7629561357	3885 1217
0.7626520811	5324 697
0.7622843531	3800 1786
0.7608961073	3025 1104
0.7605553379	1013 3915
0.7599208072	151 3895
0.7587294482	2826 2096
0.7560282002	1786 3499
0.7554953088	1907 1805
0.7549466930	4254 523 4286
0.7543910465	3587 4826
0.7524856389	3799 3742
0.7504040989	3025 768
0.7483459768	3898 1805
0.7467207170	7659 671
0.7466615374	635 3042
0.7429306273	4207 3742
0.7414305028	4241 669
0.7405752131	1590 3742
0.7367601091	956 251
0.7341913078	139 3156
0.7330075726	3758 3499
0.7324840761	6900 1590
0.7290831512	3666 3742
0.7277852349	6659 671
0.7265381442	3995 47 4002
0.7255651252	3025 7765
0.7233624008	3499 3495
0.7219376416	491 816
0.7210257685	281 487
0.7194123480	2686 3511
0.7187294683	3583 669
0.7187214125	144 36
0.7185238007	1786 4306
0.7183582866	656 831
0.7178476963	144 2326
0.7177181696	139 2313
0.7171761306	82 1640
0.7167524234	1073 3577
0.7160486360	3599 101
0.7160350607	6243 503
0.7145939300	2777 2324
0.7140965840	418 3213 3599
0.7132930577	671 5510
0.7121620430	281 627
0.7114682931	3964 3506
0.7104103440	290 3587
0.7090223790	5324 697 3135
0.7073135381	59 2281
0.7014576183	1432 173
0.6998509028	3797 3705
0.6985128238	3583 3697
0.6978752345	409 13070
0.6973377248	7347 410
0.6963960950	615 30 501
0.6942911275	656 326
0.6932608853	3304 1020
0.6924709001	946 3697
0.6877797866	1403 2686
0.6859287782	3507 3213 3599
0.6833964465	4594 4554
0.6824873300	4241 3499
0.6820061489	144 292
0.6751459753	252 126
0.6744630716	42 8286 5370
0.6739084530	3499 6264
0.6727668492	36 418
0.6702209378	61 345
0.6700584829	5099 999
0.6681093519	6367 897
0.6659384606	3745 897
0.6648313631	3583 3753
0.6647906076	149 577 775
0.6639760351	3274 3874 3213
0.6638432908	3985 2625
0.6635649160	34 487
0.6615607079	1071 807
0.6586178574	144 606
0.6579104087	5183 3726 93
0.6574242305	1013 4320
0.6574148689	3565 669
0.6568444920	144 2326 1590
0.6564039311	902 296 113
0.6548798280	46 88
0.6539028670	61 1011
0.6513227939	1786 1590 101
0.6490706026	3729 3213
0.6476589831	3213 3213 2773
0.6473175380	4705 1303 340
0.6471702780	5510 340
0.6426344483	3797 101
0.6406032052	671 3798 897
0.6405397006	3651 1590 3213
0.6402710401	4677 1786
0.6391473278	799 801
0.6387418406	3505 4011
0.6383210554	179 3965
0.6381142937	3505 4011 296
0.6351223010	935 725
0.6320037443	10352 113
0.6297839857	1006 451
0.6286497886	782 92 1839
0.6279574441	123 126
0.6229918909	1403 2686 3587
0.6221323323	61 683
0.6213330356	1786 1590 3213
0.6202736558	205 3655
0.6177529051	3842 360
0.6172998444	213 5768
0.6142246639	1013 3525
0.6136660910	4254 4013 4014
0.6123572028	1885 3525
0.6115950621	1657 3213
0.6109259851	199 3583
0.6072061304	3800 3762
0.6067291855	521 749
0.6033854807	855 902
0.6025912850	326 831
0.6021217321	2098 776
0.6000779584	1013 3774
0.5911803999	761 5324
0.5892436619	3213 4654
0.5881756838	5510 2356
0.5854252872	2415 12486
0.5832361209	811 90
0.5777797888	635 1501
0.5764513111	3857 3135
0.5750573941	252 253
0.5705496345	411 776
0.5645528790	4028 418
0.5615205925	1000 560
0.5568669091	3304 1217
0.5536373836	1438 1439 95
0.5515700546	3651 101
0.5509539616	3780 3968 3990
0.5487532566	5523 3502
0.5462932490	521 26
0.5458846517	205 524 3025
0.5436218929	518 1805
0.5433377589	1298 750
0.5432161354	32 184 37
0.5359643220	121 316 487
0.5346159865	3851 3742
0.5330436276	48 635 1501
0.5235048893	316 487
0.5226029410	1590 1217
0.5219621852	4058 418
0.5185461722	1601 2097
0.5170662007	59 3895
0.5136216096	524 3025
0.5130541663	671 3798
0.5122392897	3840 890 3213
0.5108964281	968 596
0.5096826733	1970 4089
0.5065242133	516 7385
0.5054816670	1035 671
0.5011324437	121 281 487
0.5005839905	3628 340 151
0.4921998790	1590 101
0.4911103155	1035 3577
0.4897032713	360 142
0.4856325135	4929 1590
0.4829248289	121 34 487
0.4806899513	3780 3968
0.4801454755	4028 344
0.4800676699	92 95
0.4770985621	1013 4320 59
0.4764308781	3606 2006
0.4745561214	1048 3830
0.4742971278	3565 3499
0.4738170835	2686 1786 1590
0.4733379137	897 5523
0.4727157247	28 635 421
0.4698359565	5510 897
0.4692605258	581 61
0.4687565337	524 232
0.4662792784	4043 3704
0.4651136654	3505 3072
0.4634991424	3025 2686
0.4579940878	3975 286
0.4559296205	287 1385
0.4558541003	1786 1590 1217
0.4539953949	999 3587
0.4531275215	1013 3525 669
0.4513812245	728 417 545
0.4500844438	4031 3499
0.4491499637	1031 1590
0.4487323086	6743 92
0.4458728152	1035 230
0.4430369435	3583 3213
0.4429647800	7083 1805
0.4419360355	3151 296
0.4395923517	577 775
0.4376440897	4011 296
0.4370775448	3599 3742
0.4362293598	1159 3525
0.4361123985	249 271
0.4343130777	3213 4507
0.4337371449	144 2869 30
0.4277022474	3025 491
0.4253068511	2686 1786
0.4227339467	139 1040
0.4225140651	3840 890 1084
0.4223020866	4031 3577
0.4212174020	3213 3599 1013
0.4212076352	1121 1013
0.4190634091	1035 3710
0.4125663411	789 14
0.4060000601	139 25 855
0.4055095328	62 383
0.4026774221	3783 378
0.4023790979	5340 805
0.4017157204	4261 360
0.4014044059	2503 991
0.3995324798	1439 95
0.3964526186	4064 113
0.3956360197	360 4116
0.3938698411	14223 3507
0.3932680363	1590 3687
0.3925909800	32 313 314
0.3921291540	1786 1084
0.3914867712	18 10046
0.3902006400	414 1439 95
0.3818843089	728 417 5052
0.3804245825	1825 239
0.3791099185	414 378 383 95
0.3771625451	728 417 732
0.3748005953	902 296
0.3736631733	20 4237 4238 4239
0.3732821807	1771 1035
0.3650494321	1277 3506
0.3622798745	121 281 627
0.3615941870	249 119
0.3604078703	13976 86
0.3604043695	42 1889
0.3602926766	3304 3213
0.3587771989	1071 805
0.3523907044	42 382
0.3519343106	86 47 286
0.3507431728	1086 457
0.3498248103	113 491
0.3491725618	1590 4697
0.3482688061	62 383 227 1117 18
0.3478779015	144 5324
0.3453798683	144 271
0.3447317480	3829 205
0.3446102759	18 426
0.3429743311	3506 669
0.3394729025	1970 4089 18
0.3390342763	18 6013
0.3388850987	18 879
0.3355717893	1616 274
0.3350477309	3499 2686
0.3323392747	968 194
0.3305905959	108 845
0.3299797183	42 3896 1805
